1	1	p.adl.G2.txt	2 2 2 2	ἔτους μϛ | Μεσορὴ | δ	year: 46 | month: Mesore | day: 4	ἔτους μϛ Μεσορὴ δ	-0124-08-22	-0124-08-22	0	
2	2	p.adl.G3_1.txt	1 1 2 2	ἔτους ϛ | Ἁθὺρ | ιϛ	year: 6 | month: Hathyr | day: 16	ἔ̣τ̣ο̣υ̣ς̣ [ϛ] Ἁ̣θ̣(ὺρ) ιϛ	-0112-12-04	-0112-12-04	1	
3	2	p.adl.G3_2.txt	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9	βασιλευόντων Κλεοπάτρας | καὶ βασιλέως Πτολεμαίου θεῶν Φιλομητόρων Σωτήρων | ἔτους ϛ | ἐφʼ ἱερέως βασιλέως πτολεμαίου θεοῦ Φιλομήτορος Σωτῆρος Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Εὐπάτορος καὶ θεοῦ Φιλομήτορος καὶ θεοῦ Φιλοπάτορος Νέου καὶ θεοῦ Εὐεργέτου καὶ θεῶν Φιλομητόρων Σωτήρων , ἱεροῦ πώλου Ἴσιδος μεγάλης μητρὸς θεῶν , ἀθλοφόρου Βερενίκης Εὐεργέτιδος , κανηφόρου Ἀρσινόης Φιλαδέλφου , ἱερείας Ἀρσινόης Φιλοπάτορος , τῶν ὄντων καὶ οὐσῶν ἐν Ἀλεξανδρείᾳ , ἐν δὲ Πτολεμαΐδι τῆς Θηβαΐδος ἐφʼ ἱερέων καὶ ἱερισσῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν ἐν Πτολεμαΐδι , | μηνὸς Ἁθὺρ | ιϛ	king: Cleopatra III | king: Ptolemaeus IX | year: 6 | priest(s):  | month: Hathyr | day: 16	β[ασ]ι̣λε̣υόντω̣ν̣ Κ̣λεο̣πάτ̣ρας καὶ βασιλέως Πτολεμαίο̣υ̣ θ̣εῶ̣[ν] [Φ]ιλ̣ομητ̣[ό]ρ̣ων Σ̣ω̣τ̣ή̣[ρων] ἔτ[ο]υ̣ς ϛ̣ ἐφʼ ἱερ̣είως* βασιλέως πτολεμαίου θ̣εοῦ Φιλομήτορος Σωτῆρος Ἀλε̣ξάνδρου καὶ θεῶν̣ Σωτή̣ρων καὶ θεῶν Ἀδελφῶν̣ καὶ θεῶν̣ Εὐεργετῶν κ̣αὶ θεῶν Φι̣λοπατόρ̣ων κ[αὶ] θεῶν Ἐπ̣[ι]φανῶν καὶ θεοῦ Εὐπάτορος̣ καὶ θεοῦ Φιλομήτορος̣ καὶ θεοῦ Φ[ι]λοπάτο̣ρος Ν̣έ̣ου κα[ὶ] θεο̣ῦ Εὐεργέτου καὶ θεῶν Φιλ̣ομητόρων Σωτήρων̣ , ἱεροῦ πώλου Ἴσιδος με̣[γ]άλης μητρὸς θ̣εῶν , ἀθλοφόρου Βερε̣ν̣ί̣κης Ε[ὐ]εργέτιδο[ς] [,] [κανηφόρ]ου Ἀρσι̣ν̣όης̣ [Φιλαδέλφου] [,] ἱερείας Ἀρσινόης̣ Φ̣ι̣λοπάτορο̣[ς] [,] τῶν ὄντω̣ν <καὶ> <οὐσῶν> ἐν Ἀλεξ̣α[νδρείᾳ] [,] ἐν δὲ Πτολεμαΐδι τῆς Θηβαΐδος ἐφʼ ἱερείων* καὶ ἱερισσῶν καὶ κανηφόρου τῶν̣ ὄντων καὶ οὐσῶν ἐν Πτολε̣μαΐδι , μηνὸς Ἁθὺρ ιϛ	-0112-12-04	-0112-12-04	1	
4	2	p.adl.G3_3.txt	5 5 5 5	ἔτους ϛ | Ἁθὺρ | λ	year: 6 | month: Hathyr | day: 30	ἔτο̣υ̣ς ϛ Ἁθὺρ λ	-0112-12-04	-0112-12-04	1	
5	56	bgu.3.994_1.txt	1 1 1 1	ἔτους δ | Μεσορὴ | ια	year: 4 | month: Mesore | day: 11	(ἔτους) δ Μεσορὴ ια	-0113-08-26	-0113-08-26	0	
6	56	bgu.3.994_2.txt	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9	βασιλευόντων Κλεοπάτρας | καὶ βασιλέως Πτολεμαίου θεῶν Φιλομητόρων Σωτήρων | ἔτους δ | ἐφ ἱερέως βασιλέως Πτολεμαίου θεοῦ Φιλομήτορος Σωτῆρος Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Εὐπάτορος καὶ θεοῦ Φιλομήτορος καὶ θεοῦ Φιλοπάτορος νέου καὶ θεοῦ Εὐεργέτου καὶ θεῶν Φιλομητόρων Σωτήρων ἱερουπώλου Ἴσιδος μεγάλης μητρὸς θεῶν ἀθλοφόρου Βερενίκης Εὐεργέτιδος κανηφόρου Ἀρσινόης Φιλαδέλφου ἱερείας Ἀρσινόης Φιλοπάτορος τῶν ὄντων ἐν Ἀλεξανδρείαι , ἐν δὲ Πτολεμαίδι τῆς Θηβαίδος ἐφʼ ἱερέων καὶ ἱερισσῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν ἐν Πτολεμαίδι | μηνὸς Παῦνι | ια	king: Cleopatra III | king: Ptolemaeus IX | year: 4 | priest(s):  | month: Pauni | day: 11	βασιλευόντων Κλεοπάτρας καὶ βασιλέως Πτολεμα[ί]ου θεῶν Φιλομητόρων Σωτήρων ἔτους ϛ* ἐφ ἱερείως* βασιλέως Πτολεμαίου θεοῦ Φιλομήτορος Σωτῆρος Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Εὐπάτορος καὶ θεοῦ Φιλομήτορος καὶ θεοῦ Φιλοπάτορος νέου καὶ θεοῦ Εὐεργέτου καὶ θεῶν Φιλομητόρων Σωτήρων ἱερουπώλου Ἴσιδος μεγάλης μητρὸς θεῶν ἀθλοφόρου Βερενίκης Εὐεργέτιδος κα[ν]ηφόρου Ἀρσινόης Φιλαδέλφου ἱερε[ί]ας Ἀρσινόης Φιλοπάτορος τῶν ὄντων ἐν Ἀλεξαν[δ]ρείαι , ἐν δὲ Πτολεμαίδι τῆς Θηβαίδος ἐφʼ εἱρειων* καὶ ἱερισσ[ῶ]ν καὶ κανηφόρου τῶν ὄντων καὶ οὐσσῶν* ἐν Πτολεμαίδι μηνὸς Παῦνι ια	-0113-08-26	-0113-08-26	0	
7	56	bgu.3.994_3.txt	10 10 10 10	ἔτους δ | Μεσορὴ | λ	year: 4 | month: Mesore | day: 30	ἔτους δ Μεσορὴ λ	-0113-08-26	-0113-08-26	0	
8	57	bgu.6.1260_1.txt	1 1 1 1 1 1 1	ἔτους ιϛ | τοῦ καὶ ιγ | Μεχεὶρ | ε	year: 16 | year: 13 | month: Mecheir | day: 5	ἔτους ιϛ τοῦ καὶ ιγ Μεχεὶρ ε	-0101-02-19	-0101-02-19	0	
9	58	bgu.6.1434.txt	1 1 1 1	ἔτους λθ | Παῦνι | κε	year: 39 | month: Pauni | day: 25	ἔτους λθ Παῦνι κε	-0131-07-16	-0131-07-16	0	
10	81	p.lips.1.2.txt	1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2	βασιλευόντων Πτολεμαίου τοῦ ἐπικαλουμένου Ἀλεξάνδρου | καὶ Βερενίκης τῆς ἀδελφῆς Θεῶν Φιλομήτορων | ἔτους ιϛ | ἐφʼ ἱερέων καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν | μηνὸς Θῶθ | κα	king: Ptolemaeus X | king: Cleopatra Berenice III | year: 16 | priest(s):  | month: Thoth | day: 21	βασιλευόντων Πτολεμαίου τοῦ ἐπικαλουμένου Ἀλεξάνδρου καὶ Βερενίκης τῆς ἀδελφῆς Θεῶν Φιλομήτορων ἔτους ιϛ ἐφʼ ἱερέων καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν μηνὸς Θωύθ* κα	-0099-10-07	-0099-10-07	0	
11	126	bgu.3.996_2.txt	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8	βασιλευόντων Κλεοπάτρας | καὶ βασιλέως Πτολεμαίου θεῶν Φιλομητόρων Σωτήρων | ἔτους ια | ἐφʼ ἱερέως βασιλέως Πτολεμαίου θεοῦ Φιλομήτορος Σωτῆρος Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Εὐπάτορος καὶ θεοῦ Φιλομήτορος καὶ θεοῦ Φιλοπάτορος νέου καὶ θεοῦ Εὐεργέτου καὶ θεῶν Φιλομητόρων Σωτήρων ἱερουπώλου Ἴσιδος θεᾶς μεγίστης μητρὸς θεῶν ἀθλοφόρου Βερενίκης Εὐεργέτιδος κανηφόρου Ἀρσινόης Φιλαδέλφου ἱερείας Ἀρσινόης Φιλοπάτορος τῶν ὄντων ἐν Ἀλεξανδρείαι , ἐν δὲ Πτολεμαίδι τῆς Θηβαίδος ἐφʼ ἱερέων καὶ ἱερισσῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν ἐν Πτολεμαίδι | μηνὸς Φαῶφι | ε	king: Cleopatra III | king: Ptolemaeus IX | year: 11 | priest(s):  | month: Phaophi | day: 5	βασιλευόντων Κλεοπάτρας καὶ βασιλέως Πτολεμαίου θεῶν Φιλομητόρων Σωτήρων ἔτους ια ἐφʼ ἱερείως* βασιλέως Πτολεμαίου θεοῦ Φιλομήτορος Σωτῆρος Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Εὐπάτορος καὶ θεοῦ Φιλομήτορος <καὶ> <θεοῦ> <Φιλοπάτορος> νέου καὶ θεοῦ Εὐεργέτου καὶ θεῶν Φιλομητόρων Σωτήρων ἱερουπώλου Ἴσιδος θεᾶς μεγίστης μητρὸς θεῶν ἀθλοφόρου Βερενίκης Εὐεργέτιδος κανηφόρου Ἀρσινόης Φιλαδέλφου ἱερείας Ἀρσινόης Φιλοπάτορος τῶν ὄντων ἐν Ἀλεξανδρείαι , ἐν δὲ Πτολεμαίδι τῆς Θηβαίδος ἐφʼ ἱερείων* καὶ ἱερισσῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν ἐν Πτολεμαίδι μηνὸς Φαῶφι ε	-0112-01-01	-0112-12-31	0	about
