emperor_label	wikidata_uri	imp_acc_no	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri
Augustus	https://www.wikidata.org/wiki/Q1405	1	-0043-04-16					https://godot.date/id/wmb97v7u5LVWX7RXzpdSUJ
Augustus	https://www.wikidata.org/wiki/Q1405	2		-0040-03-15	-0040-09			https://godot.date/id/n9JKPdZDcwUb8SdYZ4pD3L
Augustus	https://www.wikidata.org/wiki/Q1405	3	-0040-09	-0040-10	-0036-08-01	TRUE		https://godot.date/id/eceS3NXyXv8257m85B2phM
Augustus	https://www.wikidata.org/wiki/Q1405	4	-0036-08-01	-0036-08-31	-0033			https://godot.date/id/u7ft3YbFdJJ3TttVG4rggR
Augustus	https://www.wikidata.org/wiki/Q1405	5	-0033		-0031-09-02	TRUE		https://godot.date/id/XsuFEThC2Hip2cXkbFb63N
Augustus	https://www.wikidata.org/wiki/Q1405	6	-0031-09-02		-0029			https://godot.date/id/B25yexE6NE4mytMPJ39muT
Augustus	https://www.wikidata.org/wiki/Q1405	7	-0029		-0025			https://godot.date/id/kXawBCEdDW8RxbiGY3H9wC
Augustus	https://www.wikidata.org/wiki/Q1405	8	-0025		-0020-05-12			https://godot.date/id/ojej7EXrzeZnV289K42kih
Augustus	https://www.wikidata.org/wiki/Q1405	9	-0020-05-12		-0015			https://godot.date/id/wfYYsewbDpbUHGX6q6dHB4
Augustus	https://www.wikidata.org/wiki/Q1405	10	-0015	-0014	-0012			https://godot.date/id/vyQ99hqvJ3ubTxdRN8UWQa
Augustus	https://www.wikidata.org/wiki/Q1405	11	-0012		-0011			https://godot.date/id/PGnGVGBivDyWSUtHFZU9DR
Augustus	https://www.wikidata.org/wiki/Q1405	12	-0011		-0010			https://godot.date/id/CkKhTKDRDCoRJbGpXXuvy3
Augustus	https://www.wikidata.org/wiki/Q1405	13	-0010	-0009	-0008			https://godot.date/id/sHpzaspCupvUyCQVGydob2
Augustus	https://www.wikidata.org/wiki/Q1405	14	-0008					https://godot.date/id/LV4Xug8DvE5hdzfmR38WcB
Augustus	https://www.wikidata.org/wiki/Q1405	15		0003-06	0003-09			https://godot.date/id/3sQnnafL3CLKYPEoSGAHwH
Augustus	https://www.wikidata.org/wiki/Q1405	16	0003-09	0003-10	0006			https://godot.date/id/gMmijnGQoC3rKvHTrwigmf
Augustus	https://www.wikidata.org/wiki/Q1405	17	0006		0008-07			https://godot.date/id/PFssjVmyPvAaCTL8Pj3iM4
Augustus	https://www.wikidata.org/wiki/Q1405	18	0008-07	0008-12	0009-08-03			https://godot.date/id/RGk6U8FhGLTCUBxBEaQMee
Augustus	https://www.wikidata.org/wiki/Q1405	19	0009-08-03	9	0011			https://godot.date/id/bkEvEDiyVT8HZZo4FecaF3
Augustus	https://www.wikidata.org/wiki/Q1405	20	0011		0013			https://godot.date/id/cQ4p5kJB7ZdT6UWNSVyEZi
Augustus	https://www.wikidata.org/wiki/Q1405	21	0013		0014-08-19			https://godot.date/id/eJDzn5wSnkRCNTWr5Ko8JV
Tiberius	https://www.wikidata.org/wiki/Q1407	1	-0009-09		-0008			https://godot.date/id/rEqGPBk7gnb7uuhbTuJ7GP
Tiberius	https://www.wikidata.org/wiki/Q1407	2	-0008		0005			https://godot.date/id/qLmamMKmbtVisdrKtDbdFi
Tiberius	https://www.wikidata.org/wiki/Q1407	3	0005	0006	0008			https://godot.date/id/uJmCC5d2NY2S3iAe7W6Af3
Tiberius	https://www.wikidata.org/wiki/Q1407	4	0008		0009-08-03			https://godot.date/id/k7LATE4rpe8K2YibquZ29M
Tiberius	https://www.wikidata.org/wiki/Q1407	5	0009-08-03		0011	TRUE		https://godot.date/id/BEKtxytgwokbngpQs97mmC
Tiberius	https://www.wikidata.org/wiki/Q1407	6	0011		0013	TRUE		https://godot.date/id/f8DCJwt98fwjBz3agJLZqm
Tiberius	https://www.wikidata.org/wiki/Q1407	7	0013		0016	TRUE		https://godot.date/id/4FowaKxvFkdujYp2NjsfEd
Tiberius	https://www.wikidata.org/wiki/Q1407	8	0016		0037-03-16			https://godot.date/id/2L2ATPGPF8cbsLDpJ2ZkyG
Caligula	https://www.wikidata.org/wiki/Q1409	7	0041-01		0041-01-24			https://godot.date/id/TMjS25bTm6GewCiiDBkr7S
Claudius	https://www.wikidata.org/wiki/Q1411	1	0041		0041			https://godot.date/id/hbfvqsqniQzvrzhkdh54ib
Claudius	https://www.wikidata.org/wiki/Q1411	2	0041		0041			https://godot.date/id/k6feQC4YV5pSA5vMhrFuVh
Claudius	https://www.wikidata.org/wiki/Q1411	3	0041		0043			https://godot.date/id/nU6ZNaqyXQ89ZNGVbx87da
Claudius	https://www.wikidata.org/wiki/Q1411	4	0043		0043			https://godot.date/id/eeUNGAcxR3UNmy8UkHXN8S
Claudius	https://www.wikidata.org/wiki/Q1411	5	0043		0043			https://godot.date/id/4sYXhTrnd4rq5ZAmiHhc8k
Claudius	https://www.wikidata.org/wiki/Q1411	6	0043		0043			https://godot.date/id/qEMdQ3RgNLX4X7XTsD25PN
Claudius	https://www.wikidata.org/wiki/Q1411	7	0043		0043			https://godot.date/id/sJaoSyaFNobV8oUwbCQYmf
Claudius	https://www.wikidata.org/wiki/Q1411	8	0043	0045	0045			https://godot.date/id/Sz3EGqLwcsJfpvBZLSaocP
Claudius	https://www.wikidata.org/wiki/Q1411	9	0045		0045			https://godot.date/id/ghPrCg7wKd7Ck9tdqzL6p9
Claudius	https://www.wikidata.org/wiki/Q1411	10	0045	0046	0046			https://godot.date/id/vcrAj3iGWtDNXkPu5SgYgQ
Claudius	https://www.wikidata.org/wiki/Q1411	11	0046		0046			https://godot.date/id/TL8FTGjYcXaoCYhQkj6j65
Claudius	https://www.wikidata.org/wiki/Q1411	12	0046	0047	0047			https://godot.date/id/ztL4EAzZDN3ggC5aqF3zVJ
Claudius	https://www.wikidata.org/wiki/Q1411	13	0047		0047			https://godot.date/id/nySz6nk4CACaazwgHfKpUX
Claudius	https://www.wikidata.org/wiki/Q1411	14	0047		0047			https://godot.date/id/pEHaR3iS4VGBpo3G9sixLh
Claudius	https://www.wikidata.org/wiki/Q1411	15	0047	0048	0048			https://godot.date/id/ujGQku6ddTPpNh5cJdFo4E
Claudius	https://www.wikidata.org/wiki/Q1411	16	0048	0049	0049			https://godot.date/id/A462xGQjk7c4X4tXaDQNX9
Claudius	https://www.wikidata.org/wiki/Q1411	17	0049		0049			https://godot.date/id/w6PkNzq8pZwkb4m6QgJMHX
Claudius	https://www.wikidata.org/wiki/Q1411	18	0049	0050	0050			https://godot.date/id/cG4LSPoHPkyEXoWNWpyoe2
Claudius	https://www.wikidata.org/wiki/Q1411	19	0050		0050			https://godot.date/id/u3jToeFFNkrCzXM3HkAqW3
Claudius	https://www.wikidata.org/wiki/Q1411	20	0050		0050			https://godot.date/id/oKGWs2MFWwvgiN5kgnvYgD
Claudius	https://www.wikidata.org/wiki/Q1411	21	0050		0051			https://godot.date/id/WsW3aTxXLBrFZTkv2jA5f3
Claudius	https://www.wikidata.org/wiki/Q1411	22	0051		0051			https://godot.date/id/VNiRiSupJ4exbvoqXjPm65
Claudius	https://www.wikidata.org/wiki/Q1411	23	0051		0051			https://godot.date/id/SSZmEc6HGZdbmrrwE6xM8R
Claudius	https://www.wikidata.org/wiki/Q1411	24	0051		0051			https://godot.date/id/QBbc2MUYZk3BxznQxo8wM2
Claudius	https://www.wikidata.org/wiki/Q1411	25	0051	0052	0052			https://godot.date/id/qqmx5r4baiZigZGkUfSWhQ
Claudius	https://www.wikidata.org/wiki/Q1411	26	0052		0052			https://godot.date/id/LZqYpSfdSbqgmNgZoTKq2T
Claudius	https://www.wikidata.org/wiki/Q1411	27	0052		0054-10-13			https://godot.date/id/5NGsV4VUYNwQ6yfFbGgxo8
Nero	https://www.wikidata.org/wiki/Q1413	1	0054		0056			https://godot.date/id/zibe6MPyEwLWVnzstA8SGD
Nero	https://www.wikidata.org/wiki/Q1413	2	0056		0057			https://godot.date/id/fVPSKzkqPKTsAayfJzN64V
Nero	https://www.wikidata.org/wiki/Q1413	3	0057		0057			https://godot.date/id/7v2grJ6SRV3SSXHVGhuhz7
Nero	https://www.wikidata.org/wiki/Q1413	4	0057	0058	0058			https://godot.date/id/24RT4AbQcXNTkWbaka6hYP
