emperor_label	wikidata_uri	consulate	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri	part_of_consulate		
Augustus	https://www.wikidata.org/wiki/Q1405	cos. suff.	1		-0043-08-19	-0043-11	-0033-01-01			https://godot.date/id/erFK9xBieiqV92x6zjYkUk	https://godot.date/id/92NLUpUUuywKLXWzHoWjSQ	cos.	
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	2		-0033-01-01	-0033-01-01	-0033			https://godot.date/id/oSqsUnPZx8FEK2wU9oMUTE	https://godot.date/id/mzj3zUir8XYPi8rJXwxoqD	cos. design.	TRUE
Augustus	https://www.wikidata.org/wiki/Q1405	cos. design.	3		-0033		-0031-01-01			https://godot.date/id/UKs8Tobc8PZXVZNip2cSzd		cos. suff.	
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	3		-0031-01-01	-0031-12-31	-0030-01-01			https://godot.date/id/fj3jVaxwWRcTySuJft4hZW	https://godot.date/id/3jXmkrk9vQRWexXKKx9Jx8 ; https://godot.date/id/TZbk2RYYBontHuVXXEUsND ; https://godot.date/id/Ge5Jr2oBpT4qPkFUCDSi5Y ; https://godot.date/id/za4fEqmwgvkxzxZVAskPiL	cos. perpetuus	
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	4		-0030-01-01	-0030-12-31	-0029-01-01			https://godot.date/id/9RBemtxpNQUvHT8gNj6yX3	https://godot.date/id/xVU5TyQ6vWiwiudPbWMLek ; https://godot.date/id/CwUanbfW4xruLzpBag2xDE ; https://godot.date/id/uaUzAYiAy2JVeKa33Jn4QW ; https://godot.date/id/kTmPYG4njn56wCoVRi9UnG		
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	5		-0029-01-01	-0029-12-31	-0029			https://godot.date/id/aT7w6i6Vc44qJpjvdKG6oT	https://godot.date/id/Qnuy7xGVtrueNGPuvx7NaV ; https://godot.date/id/PDANEGcfeRyopQPDt92BE6		
Augustus	https://www.wikidata.org/wiki/Q1405	cos. design.	6		-0029		-0028-01-01			https://godot.date/id/DtmxgJrf83rgbY8X9MuA3H			
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	6		-0028-01-01	-0028-12-31	-0027-01-01			https://godot.date/id/jSGwiWWwqwY3JNoGmDVXii	https://godot.date/id/chtkaFi4FhR5hhQGmjKF7f		
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	7		-0027-01-01	-0027-12-31	-0027			https://godot.date/id/66x4bKPGJcBJuJhwq8gnEd	https://godot.date/id/vZrDVUSiNUcDVWmq4Qr92P		
Augustus	https://www.wikidata.org/wiki/Q1405	cos. design.	8		-0027		-0026-01-01			https://godot.date/id/AY5L8uNxuwhKuHqHZD7xyc			
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	8		-0026-01-01	-0026-12-31	-0025-01-01			https://godot.date/id/LdTdyrEErehZ4RXiQoVYGN	https://godot.date/id/TdF4xMqAJgUUWKLMRwjQX3		
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	9		-0025-01-01	-0025-12-31	-0025			https://godot.date/id/YWEdYYyrjvmoPKL3PbLdLM	https://godot.date/id/xAuRHnrswh2co2K8KkPH4S		
Augustus	https://www.wikidata.org/wiki/Q1405	cos. design.	10		-0025		-0024-01-01			https://godot.date/id/XxJ9GVW3y8AkMgTNqrYEsR			
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	10		-0024-01-01	-0024-12-31	-0023-01-01			https://godot.date/id/r36N8QUdxZVWKuVcgxUWJT	https://godot.date/id/wJanQJ7R7qypVaHJzJhdhL		
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	11		-0023-01-01	-0023-06-30	-0006			https://godot.date/id/kSJKS6T2YpWys5wfTxm4cV	https://godot.date/id/yeAfKG3xvcVKgW4joBpcgZ		
Augustus	https://www.wikidata.org/wiki/Q1405	cos. design.	12		-0006		-0005-01-01			https://godot.date/id/ohPjHDqJxoyN77vUDDPPmh			
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	12		-0005-01-01	-0005-07-31	-0003	TRUE	until only April 11th?	https://godot.date/id/Sx9JYeorFSB9Rn69LFiSk9	https://godot.date/id/LVK26U9eqURtUKkfhSqcCY		
Augustus	https://www.wikidata.org/wiki/Q1405	cos. design.	13		-0003		-0002-01-01			https://godot.date/id/WgxBWYjZQDRw5NMju96ttX			
Augustus	https://www.wikidata.org/wiki/Q1405	cos.	13		-0002-01-01	-0002-08-01	0014-08-19	TRUE	at least until 1st August	https://godot.date/id/qeVKWRpFE4sPRoZE4V8m4d	https://godot.date/id/hM5xnWKAQQtF9mnLEkFiDA ; https://godot.date/id/z6xUoJDmVUiJRXRVujWvw3		
Tiberius	https://www.wikidata.org/wiki/Q1407	cos.	1		-0013-01-01	-0013-12-31	-0007-01-01			https://godot.date/id/DXZtjNR5f95gssGCvySHBh	https://godot.date/id/LZXP6ssmNeJTJpgknqVUr6		
Tiberius	https://www.wikidata.org/wiki/Q1407	cos.	2		-0007-01-01	-0007-12-31	0018-01-01			https://godot.date/id/CFnUGkduv6XWESzN4W6kZh	https://godot.date/id/QJ8wLfxJZSmXTvWtUav6hZ		
Tiberius	https://www.wikidata.org/wiki/Q1407	cos.	3		0018-01-01	0018-01-31	0021-01-01			https://godot.date/id/pioen5g2c4TgANbfND6AUj	https://godot.date/id/K3BRW2CdtsDnLojY2tJUZY		
Tiberius	https://www.wikidata.org/wiki/Q1407	cos.	4		0021-01-01	0021-03-31	0031-01-01			https://godot.date/id/8wgTSL8UjuRUSpMPY6SadD	https://godot.date/id/faDKj2AQtRXYVHUBQ2bf25		
Tiberius	https://www.wikidata.org/wiki/Q1407	cos.	5		0031-01-01	0031-05-08	0037-03-16			https://godot.date/id/hXP34vFim4fkoH5Cp9D2Ei	https://godot.date/id/x46jFCi43emBYcUgR7V8WG		
Caligula	https://www.wikidata.org/wiki/Q1409	cos. suff.	1		0037-07-01	0037-08-31	0038-07-01			https://godot.date/id/PBPVZGWngVqyjZPn5gN72c	https://godot.date/id/Rt6kEK2hL7uAPagJWaeFXi		
Caligula	https://www.wikidata.org/wiki/Q1409	cos. design.	2		0038-07-01		0039-01-01			https://godot.date/id/8VKUwBvxTvZUF7nFAc2hoR			
