emperor_label	wikidata_uri	victory_title	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri		
Caligula	https://www.wikidata.org/wiki/Q1409	Britannicus	1	TRUE			0041-01-24	TRUE		https://godot.date/id/TjT2mjtWTzUUAZjtBH9yBX	Adiabenicus	
Domitian	https://www.wikidata.org/wiki/Q1423	Germanicus	1		0083-09		0096-09-18	TRUE		https://godot.date/id/QGu4Drmdwxd2mPjQECsnY6	Adiabenicus max.	TRUE
Nerva	https://www.wikidata.org/wiki/Q1424	Germanicus	1		0097-11		0098-01-27			https://godot.date/id/qUgWiWV7tZjp2PE9wLxhLB	Aegyptiacus max.	
Trajan	https://www.wikidata.org/wiki/Q1425	Germanicus	1		0097-11		0117-08-07			https://godot.date/id/8RMgwyX7RrskwtfUgznjw4	Alamannicus max.	
Trajan	https://www.wikidata.org/wiki/Q1425	Dacicus	1		0102-09	0102-11	0117-08-07		autumn 102 AD	https://godot.date/id/mA5AdmqWMdcPTg6e6guyGN	Arabicus	
Trajan	https://www.wikidata.org/wiki/Q1425	Parthicus	1		0116-02-20	0116-02-21	0117-08-07			https://godot.date/id/UdinGck5Fo6uFye6gtgBFC	Arabicus max.	
Marc Aurel	https://www.wikidata.org/wiki/Q1430	Armeniacus	1		0164-07-01		0180-03-17		beginning of July 164 AD to the latest; officially not used after 169 AD, but can be found in inscriptions & papyri later	https://godot.date/id/Ja44u7Ts35eJ4eKrgq2aUL	Armeniacus	
Marc Aurel	https://www.wikidata.org/wiki/Q1430	Medicus	1		0166-06	0166-07	0180-03-17		mid 166 AD; officially not used after 169 AD, but can be found in inscriptions & papyri later	https://godot.date/id/22bxLG9aLdyuC3CYovfyDT	Armeniacus max.	
Marc Aurel	https://www.wikidata.org/wiki/Q1430	Parthicus max.	1		0166-06	0166-07	0180-03-17		mid 166 AD; officially not used after 169 AD, but can be found in inscriptions & papyri later	https://godot.date/id/FFegfwtc9WjpDaqsz6Xg7g	Britannicus	
Marc Aurel	https://www.wikidata.org/wiki/Q1430	Germanicus	1		0172		0180-03-17			https://godot.date/id/gUsqUe9UbLojGKVZtftgaC	Britannicus max.	
Marc Aurel	https://www.wikidata.org/wiki/Q1430	Sarmaticus	1		0175-07-01	0175-08-31	0180-03-17	TRUE	not on coins after 178 AD	https://godot.date/id/BtaUqCVayxeRuPeFhbU2qC	Carpicus max.	
L. Verus	https://www.wikidata.org/wiki/Q1433	Armeniacus	1		0163-09	0163-11	0169-02		autumn 193 AD	https://godot.date/id/uJsxKQFHDFS9AvNDMYPu4L	Dacicus	
L. Verus	https://www.wikidata.org/wiki/Q1433	Parthicus max.	1		0165-08	0165-09	0169-02			https://godot.date/id/YAnGciTetkZ996724gdsV4	Dacicus max.	
L. Verus	https://www.wikidata.org/wiki/Q1433	Medicus	1		0166-06	0166-08	0169-02		summer 166 AD	https://godot.date/id/5G5Gn2XGWHRuUvUJaFubWn	Francicus max.	
Commodus	https://www.wikidata.org/wiki/Q1434	Germanicus	1		0172-10-15		0192-12-31		not on coins after 178 AD	https://godot.date/id/qHZ6A8RCCEAYZSR8E8bXsU	Germanicus	
Commodus	https://www.wikidata.org/wiki/Q1434	Sarmaticus	1		0175-09	0175-11	0192-12-31		autumn 175 AD; not on coins after 178 AD	https://godot.date/id/9UU7cAW4tPCYoUmAMB2BHE	Germanicus max.	
Commodus	https://www.wikidata.org/wiki/Q1434	Germanicus max.	1			0182-05-15	0192-12-31			https://godot.date/id/9s3hvQGo7MazxLTRdh9GgR	Gothicus	
Commodus	https://www.wikidata.org/wiki/Q1434	Britannicus	1		0184-06-01	0184-12-31	0192-12-31		second half of 184 AD	https://godot.date/id/5kppzG9X8k3N8ix7WiA2iX	Gothicus max.	
Septimius Severus	https://www.wikidata.org/wiki/Q1442	Parthicus Arabicus	1			0195-08-28	0211-02-04			https://godot.date/id/b3SrskNrJLkF3FBkvTyEzi	Medicus	
Septimius Severus	https://www.wikidata.org/wiki/Q1442	Parthicus Adiabenicus	1			0195-08-28	0211-02-04			https://godot.date/id/knzCxWRJyg4aYtz2eztLDc	Medicus max.	
Septimius Severus	https://www.wikidata.org/wiki/Q1442	Parthicus max.	1		0198-01		0211-02-04			https://godot.date/id/8Bk77JwDNK8NtcsQpLTjfE	Palmyrenicus max.	
Septimius Severus	https://www.wikidata.org/wiki/Q1442	Britannicus max.	1		0210-03-31		0211-02-04	TRUE		https://godot.date/id/5Zrsht4jE8sb3Bts4kpeXG	Parthicus	
Caracalla	https://www.wikidata.org/wiki/Q1446	Parthicus max.	1		0211-02-04		0217-04-08			https://godot.date/id/ELrdBatQ2LeHULar8fNpek	Parthicus max.	
Caracalla	https://www.wikidata.org/wiki/Q1446	Britannicus max.	1		0210-03-31		0217-04-08	TRUE		https://godot.date/id/J9tMoAXNagR3iz7bVn7tCo	Parthicus Arabicus	
Caracalla	https://www.wikidata.org/wiki/Q1446	Germanicus max.	1		0213-09-20	0213-09-30	0217-04-08		end of September 213	https://godot.date/id/v8MPkAwYp3CSaDQWkwmHdm	Parthicus Adiabenicus	
Caracalla	https://www.wikidata.org/wiki/Q1446	Arabicus	1		0211		0217-04-08			https://godot.date/id/RaZRbU95agPqPhF4yjWU4a	Persicus	
Caracalla	https://www.wikidata.org/wiki/Q1446	Arabicus max.	1		0211		0217-04-08			https://godot.date/id/RpqLJ2UtzTBRWy7iT7jf65	Persicus max.	
Caracalla	https://www.wikidata.org/wiki/Q1446	Adiabenicus	1		0211		0217-04-08			https://godot.date/id/tb2q87ErNLWgHRqpHAXN5Q	Sarmaticus	
Caracalla	https://www.wikidata.org/wiki/Q1446	Adiabenicus max.	1		0211		0217-04-08			https://godot.date/id/aX5FeCfQ6yTd75crTSdpRW	Sarmaticus max.	
Geta	https://www.wikidata.org/wiki/Q183089	Britannicus max.	1		0210-03-31		0211-12-19	TRUE		https://godot.date/id/p2ZEaX9stgfUVCDV2QvPQ4	Thebaicus max.	
Maximinus Thrax	https://www.wikidata.org/wiki/Q1777	Germanicus max.	1		0236-06	0236-08	0238-04	TRUE	summer(?) 236 AD	https://godot.date/id/qkkHqPiiAz3hUAKopEgE2N		
Maximinus Thrax	https://www.wikidata.org/wiki/Q1777	Dacicus max.	1		0236		0238-04		end of 236 AD	https://godot.date/id/9Xj67vX4i4Lzc7rtJVdQi7		
Maximinus Thrax	https://www.wikidata.org/wiki/Q1777	Sarmaticus max.	1		0236		0238-04		end of 236 AD	https://godot.date/id/d6ASmvfVMGumKXg7HtQg94		
Maximinus Thrax	https://www.wikidata.org/wiki/Q1777	Parthicus max.	1		0237		0238-04	TRUE	only attested CIL XIII 8863	https://godot.date/id/cm6tb23TUwVLfNmAWAVHpK		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	Persicus max.	1		0244-06	0244-07	0249-10		mid 244 AD	https://godot.date/id/TQieMHzqHMLeAkF76s8xd5		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	Parthicus max.	1		0244-06	0244-07	0249-10		mid 244 AD	https://godot.date/id/gZYbgBqMn8q8aV4yUcCqk2		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	Parthicus Adiabenicus	1	TRUE			0249-10	TRUE	only IGBulg V 5257	https://godot.date/id/5VA2ryFf8sthjFpZHcqMKJ		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	Carpicus max.	1		0247		0249-10	TRUE	end 247 AD	https://godot.date/id/HGG9ztzcLoEuUY9cQf3yCC		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	Germanicus max.	1	TRUE			0249-10		unofficial	https://godot.date/id/kxptCQiPBEJPE3tSubfqSg		
Decius	https://www.wikidata.org/wiki/Q1830	Dacicus max.	1	TRUE	0250		0251-06		only CIL XVII 1, 1, 56 & 100; irregular?	https://godot.date/id/firdMPJiDUb6VLujmwFn49		
Decius	https://www.wikidata.org/wiki/Q1830	Germanicus max.	1	TRUE	0251		0251-06	TRUE	only AE 1942/3, 55; irregular?	https://godot.date/id/HEshdmnGfvuA9y845KgRXZ		
Valerian	https://www.wikidata.org/wiki/Q46750	Germanicus	1		0254		0260-06		end of 254 AD	https://godot.date/id/YwkhRe6Mw8cbmNacZeenV5		
Valerian	https://www.wikidata.org/wiki/Q46750	Germanicus max.	1		0255		0257			https://godot.date/id/Kdp5FofpcPZmo2M49jB9sk		
Valerian	https://www.wikidata.org/wiki/Q46750	Germanicus max.	3		0257		0260-06			https://godot.date/id/T2KQGazL8NH4AcVioL6N3g		
Gallienus	https://www.wikidata.org/wiki/Q104475	Germanicus	1		0254		0268-09		end of 254 AD	https://godot.date/id/qLBkE6A6vm8aNum8hbxVDo		
Gallienus	https://www.wikidata.org/wiki/Q104475	Germanicus max.	1		0255		0257			https://godot.date/id/9k6YdkxSXGuiTM2HrbKSC7		
Gallienus	https://www.wikidata.org/wiki/Q104475	Germanicus max.	3		0257		0258			https://godot.date/id/3PRm7SvXMB7KCWyf9yoXRM		
Gallienus	https://www.wikidata.org/wiki/Q104475	Germanicus max.	5		0258		0268-09			https://godot.date/id/U2ndfFKTWNHsKps7i5rmgb		
