month	day	godot_uri
Thot		https://godot.date/id/6nHDsAQE2fuSioSPVNxF6K
Phaophi		https://godot.date/id/bkskpnW2CaCW3nwwQaa7mT
Hathyr		https://godot.date/id/7Q9pgeFhmPepYe5jFJHRWg
Choiak		https://godot.date/id/rh9YDhEEWBHioaiwDbp6WY
Tybi		https://godot.date/id/2eeMZwoq3pkrVuz2J9BEBS
Mecheir		https://godot.date/id/W9iAM6yCtrbHY8rX8Vfdsn
Phamenoth		https://godot.date/id/bSMcZTGXH8Rg7dBxbBzuu4
Pharmuthi		https://godot.date/id/e8VfhFc4qNCtqKZjveEc39
Pachons		https://godot.date/id/DBEMjCa89JPuTaXCLHrwS2
Payni		https://godot.date/id/Gr65vKMZuhCC8rooxjzwuS
Epeiph		https://godot.date/id/4Ha7ripcEetuS9a34QUU7W
Mesore		https://godot.date/id/No8aXU4HZqGyGn9gnFx8v3
Epagomenal Days		https://godot.date/id/H8emx6FHJ5XSFUbkNpxKcN
None		https://godot.date/id/pqVSUAzvFXp8ht7mPr7P4M
