name	year	not_before	not_after	wikidata_uri	godot_uri
Ptolemaeus I	1	-0304-02-05	-0304-11-06	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/nxpnUA8Rmm6LTcNnCmZDKo
Ptolemaeus I	2	-0304-11-07	-0303-11-06	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/P4SDevVJSdfDnEm5uFedb2
Ptolemaeus I	3	-0303-11-07	-0302-11-06	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/KfELPAy7La2xdRvxi3Hzud
Ptolemaeus I	4	-0302-11-07	-0301-11-05	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/RxUgxfUogdGxABPEbrggzf
Ptolemaeus I	5	-0301-11-06	-0300-11-05	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/aj5NCD5fTPUBm3vXhNFpYh
Ptolemaeus I	6	-0300-11-06	-0299-11-05	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/ouSc5ANGkKZrTzLA7hZana
Ptolemaeus I	7	-0299-11-06	-0298-11-05	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/HxEQ27DM8QCqapCjX3DBvD
Ptolemaeus I	8	-0298-11-06	-0297-11-04	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/gUCnirJJWKtkXzbtfJEPRk
Ptolemaeus I	9	-0297-11-05	-0296-11-04	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/XAEPYcAMJ2My2JCooWhhhb
Ptolemaeus I	10	-0296-11-05	-0295-11-04	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/3zbK7bShGD7fguB4jy5jzE
Ptolemaeus I	11	-0295-11-05	-0294-11-04	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/ncb9LYK6HLYN9sa8Ejkovg
Ptolemaeus I	12	-0294-11-05	-0293-11-03	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/vuQwCU6iomqKTeU7kq5LMP
Ptolemaeus I	13	-0293-11-04	-0292-11-03	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/VG6rfA4UnWcs6DcbsHHzGD
Ptolemaeus I	14	-0292-11-04	-0291-11-03	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/s2AnfG53f4TR7cRVcRVJyS
Ptolemaeus I	15	-0291-11-04	-0290-11-03	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/A36vnEKmEgsWFibX5GUhPX
Ptolemaeus I	16	-0290-11-04	-0289-11-02	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/LuKagMQ46vMCQGWvHsZq4d
Ptolemaeus I	17	-0289-11-03	-0288-11-02	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/BcQcVQtJUtyBDNkoQ37RTA
Ptolemaeus I	18	-0288-11-03	-0287-11-02	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/A7SDgJ6Bdv5wYjXt3r6WuN
Ptolemaeus I	19	-0287-11-03	-0286-11-02	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/yRMeJKca5utuJRjHzY983M
Ptolemaeus I	20	-0286-11-03	-0285-11-01	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/Kdsz6Biun3TCnBjWJsWqCE
Ptolemaeus I	21	-0285-11-02	-0284-11-01	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/AQfubVdda5PeZkuosfNguj
Ptolemaeus II	1	-0285-11-02	-0284-11-01	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/SbTwvySdWfcRk9aiQJtrQV
Ptolemaeus I	22	-0284-11-02	-0283-11-01	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/RMBtVkuyeCDpiuxX2WeAXH
Ptolemaeus II	2	-0284-11-02	-0283-11-01	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/3zABqeXtiHc6YZFVMvUBdB
Ptolemaeus I	23	-0283-11-02	-0282-10-30	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/dMehf4FiqP5DDCRh9fQJHD
Ptolemaeus II	3	-0283-11-02	-0282-11-01	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/F4BAKCeoaAmbxHJkY8PVMQ
Ptolemaeus II	4	-0282-11-02	-0281-10-31	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/5s5t96qJs2SVWWYAYVhuXj
Ptolemaeus II	5	-0281-11-01	-0280-10-31	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/j8TsNoQTChGaHYMYza3wF4
Ptolemaeus II	6	-0280-11-01	-0279-10-31	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/mUEpg6wSoqvNAcCpzxKDCm
Ptolemaeus II	7	-0279-11-01	-0278-10-31	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/5MnZvHWNxUYB4pYmHWQWbK
Ptolemaeus II	8	-0278-11-01	-0277-10-30	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/D3P6LfTXd5pnwxCDwhts9G
Ptolemaeus II	9	-0277-10-31	-0276-10-30	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/PiCrWWji7ysaL2mjfuEajA
Ptolemaeus II	10	-0276-10-31	-0275-10-30	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/K7bUEjdJBGzjBxvjEynYiX
