year	consul_prior	consul_posterior	comment_year	comment_consul_prior	comment_consul_posterior	consul_prior_wikipedia_uri	consul_posterior_wikipedia_uri	godot_uri	label
-100	C. Marius VI	L. Valerius Flaccus	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1951			https://en.wikipedia.org/wiki/Gaius_Marius	https://en.wikipedia.org/wiki/Lucius_Valerius_Flaccus_(princeps_senatus_86_BC)	https://godot.date/id/PVELfMqVN4b6FHLt5UQWAA	100 BC: C. Marius VI / L. Valerius Flaccus
-99	M. Antonius	A. Postumius Albinus	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1952				https://en.wikipedia.org/wiki/Aulus_Postumius_Albinus	https://godot.date/id/jLGJ2pYJbrMZ4C3qxw8Abh	99 BC: M. Antonius / A. Postumius Albinus
-98	Q. Caecilius Metellus Nepos	T. Didius	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1953				https://en.wikipedia.org/wiki/Titus_Didius	https://godot.date/id/c2NxpHdMCWCeaTirMnBQnN	98 BC: Q. Caecilius Metellus Nepos / T. Didius
-97	Cn. Cornelius Lentulus	P. Licinius Crassus	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1954			https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Lentulus_(consul_97_BC)	https://en.wikipedia.org/wiki/Publius_Licinius_Crassus_Dives_(consul_97_BC)	https://godot.date/id/7dhHua8xAkU4izfsn3UL5i	97 BC: Cn. Cornelius Lentulus / P. Licinius Crassus
-96	Cn. Domitius Ahenobarbus	C. Cassius Longinus	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1955			https://en.wikipedia.org/wiki/Gnaeus_Domitius_Ahenobarbus_(consul_96_BC)	https://en.wikipedia.org/wiki/Gaius_Cassius_Longinus_(consul_96_BC)	https://godot.date/id/njodCZz3i5qP28LzFVLs3n	96 BC: Cn. Domitius Ahenobarbus / C. Cassius Longinus
-95	L. Licinius Crassus	Q. Mucius Scaevola	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1956					https://godot.date/id/MocxtSuLVCLHnAYtvTZjx8	95 BC: L. Licinius Crassus / Q. Mucius Scaevola
-94	C. Coelius Caldus	L. Domitius Ahenobarbus	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1957			https://en.wikipedia.org/wiki/Gaius_Coelius_Caldus	https://en.wikipedia.org/wiki/Lucius_Domitius_Ahenobarbus_(consul_94_BC)	https://godot.date/id/NXwZJ4pQ332eabSr6KKLUj	94 BC: C. Coelius Caldus / L. Domitius Ahenobarbus
-93	C. Valerius Flaccus	M. Herennius	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1958			https://en.wikipedia.org/wiki/Gaius_Valerius_Flaccus_(consul)	https://en.wikipedia.org/wiki/Marcus_Herennius_(consul_93_BC)	https://godot.date/id/H9Zb39PTM2ajXqWNstdccT	93 BC: C. Valerius Flaccus / M. Herennius
-92	C. Claudius Pulcher	M. Perperna	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1959			https://en.wikipedia.org/wiki/Gaius_Claudius_Pulcher_(consul_92_BC)	https://en.wikipedia.org/wiki/Marcus_Perperna_(consul_92_BC)	https://godot.date/id/WM2tyd6nvrzpwUq95cVNgT	92 BC: C. Claudius Pulcher / M. Perperna
-91	L. Marcius Philippus	Sex. Julius Caesar	Unless otherwise noted, consuls from 100 BC through 81 BC are taken from Thomas Robert Shannon Broughton, The Magistrates of the Roman Republic. Philological Monograph No. 15. New York: American Philological Association, 1960			https://en.wikipedia.org/wiki/Lucius_Marcius_Philippus_(consul_91_BC)	https://en.wikipedia.org/wiki/Sextus_Julius_Caesar_(consul_91_BC)	https://godot.date/id/xfwJ5XqioPFqnruX7gpCYM	91 BC: L. Marcius Philippus / Sex. Julius Caesar
