emperor_label	wikidata_uri	trib_pot_no	not_before	not_after	godot_uri
Augustus	https://www.wikidata.org/wiki/Q1405	1	-23	-22	https://godot.date/id/wb9N2Xvzh7yE7o4De8ChgF
Augustus	https://www.wikidata.org/wiki/Q1405	2	-22	-21	https://godot.date/id/QPnoP5Yee3Wio4aRa7ocCh
Augustus	https://www.wikidata.org/wiki/Q1405	3	-21	-20	https://godot.date/id/33xxw2GJqF4ZxkCEnqEQCd
Augustus	https://www.wikidata.org/wiki/Q1405	4	-20	-19	https://godot.date/id/3UHtR9NEtWEa7GUjFZuNTJ
Augustus	https://www.wikidata.org/wiki/Q1405	5	-19	-18	https://godot.date/id/4uoPHfPvfBxoMYWwbKNd55
Augustus	https://www.wikidata.org/wiki/Q1405	6	-18	-17	https://godot.date/id/bkUgtjm5B7tFeRqbmuEo5A
Augustus	https://www.wikidata.org/wiki/Q1405	7	-17	-16	https://godot.date/id/8M9VewiHLMsiyTZKbWFfEn
Augustus	https://www.wikidata.org/wiki/Q1405	8	-16	-15	https://godot.date/id/pkKsA5oCqcKzNo5MKWKUbT
Augustus	https://www.wikidata.org/wiki/Q1405	9	-15	-14	https://godot.date/id/gcPU77Q7qMd5bcu4P7VZfL
Augustus	https://www.wikidata.org/wiki/Q1405	10	-14	-13	https://godot.date/id/n3LNnRXqk6qJjNeUsBfJ2a
Augustus	https://www.wikidata.org/wiki/Q1405	11	-13	-12	https://godot.date/id/BGSGcceBPxeAiXByY9SQgY
Augustus	https://www.wikidata.org/wiki/Q1405	12	-12	-11	https://godot.date/id/kJFLEy2oPXN5tVaXRSjHUo
Augustus	https://www.wikidata.org/wiki/Q1405	13	-11	-10	https://godot.date/id/8ETe5pcaabE76wXiuknKwH
Augustus	https://www.wikidata.org/wiki/Q1405	14	-10	-9	https://godot.date/id/8VL92P5Af6vhBoHpFD7DfT
Augustus	https://www.wikidata.org/wiki/Q1405	15	-9	-8	https://godot.date/id/8GLmsderJ4CvtVU2DF5TP3
Augustus	https://www.wikidata.org/wiki/Q1405	16	-8	-7	https://godot.date/id/hLLJ4h2FbxQ8sVhEXWZhjX
Augustus	https://www.wikidata.org/wiki/Q1405	17	-7	-6	https://godot.date/id/d8AvVuNB8WDM2BunJkiZb9
Augustus	https://www.wikidata.org/wiki/Q1405	18	-6	-5	https://godot.date/id/oYyLE6VUchvr73FgwF7FYZ
Augustus	https://www.wikidata.org/wiki/Q1405	19	-5	-4	https://godot.date/id/d36FKr4VMkTD4ZoPnU2QZb
Augustus	https://www.wikidata.org/wiki/Q1405	20	-4	-3	https://godot.date/id/yJwX7nsCFVrvs4vPmNy4Z5
Augustus	https://www.wikidata.org/wiki/Q1405	21	-3	-2	https://godot.date/id/HnfU5FfT5GT2ySYC4ypyGf
Augustus	https://www.wikidata.org/wiki/Q1405	22	-2	-1	https://godot.date/id/NBTqh6Fukzwbzjvkjbitd7
Augustus	https://www.wikidata.org/wiki/Q1405	23	-1	1	https://godot.date/id/FptRaPZpMMeZpcSkr3RiDm
Augustus	https://www.wikidata.org/wiki/Q1405	24	1	2	https://godot.date/id/fuxXS2R7BWFoNFqjn8j4pQ
Augustus	https://www.wikidata.org/wiki/Q1405	25	2	3	https://godot.date/id/UCBeFrb7nowFvo7cLx4Hyd
Augustus	https://www.wikidata.org/wiki/Q1405	26	3	4	https://godot.date/id/yQdBSoNX8YiBVjPcP4z76S
Augustus	https://www.wikidata.org/wiki/Q1405	27	4	5	https://godot.date/id/Jyo8EC5zqyij9ZW6JyHkxT
Augustus	https://www.wikidata.org/wiki/Q1405	28	5	6	https://godot.date/id/cKkkTqKWXEFisAFzBk4ru
