month	day	godot_uri
Thot		https://godot.date/id/Q8DusVTXmb56iHTRtGumMe
Phaophi		https://godot.date/id/FespZMoQjMayzcbtkSaXRL
Hathyr		https://godot.date/id/XN5VigdXnKWxaZtfpwTpUa
Choiak		https://godot.date/id/cJm4ebFxWczYkVPDNC5YDg
Tybi		https://godot.date/id/G8AFSBZeGQjEuoqvM7tfyQ
Mecheir		https://godot.date/id/o7LiRooPxwuy9h3XYR5tXk
Phamenoth		https://godot.date/id/TDiLtyaUSjvX922uBVUdSY
Pharmuthi		https://godot.date/id/QDdn4eVqZy6mTGvsBGJTqb
Pachons		https://godot.date/id/yGxmNzRynZboGPeGNfRhQ4
Payni		https://godot.date/id/bBdBT7kxXnSayr9XXwyn8a
Epeiph		https://godot.date/id/uVbSFMsqJz8x6KhFnbZLxR
Mesore		https://godot.date/id/5vmRCzCXn3CxqPsTc8RT8m
Epagomenal Days		https://godot.date/id/EsHPgn6FWzB2zGg4jRWMLS
